0 0 0 0 0
1 64 64 64 64
2 64 192 192 64
3 64 192 192 128
4 64 256 192 64
5 128 192 192 64
6 64 256 256 64
7 64 256 256 128
8 192 256 256 128
9 128 192 192 256
10 192 192 192 128
11 128 192 192 192
12 128 192 192 64
13 192 128 192 128
14 128 256 128 64
15 256 192 192 128
16 128 192 192 192
17 64 256 256 128
18 64 192 192 128
19 128 192 192 128
20 128 192 192 128
21 192 256 192 64
22 256 128 192 128
23 64 256 192 64
24 128 128 256 192
25 64 256 256 128
26 192 256 192 128
27 192 256 192 128
28 128 256 256 128
29 128 256 256 192
30 64 192 256 64
31 64 192 256 128
32 192 128 192 192
33 64 128 256 192
34 64 256 256 192
35 192 192 128 128
36 128 256 192 64
37 128 256 256 64
38 192 256 256 192
39 192 256 192 128
40 64 256 256 64
41 128 192 128 128
42 128 256 256 64
43 128 192 192 64
44 64 192 256 128
45 64 256 192 128
46 128 256 256 128
47 192 256 128 64
48 128 192 192 64
49 128 256 256 64
50 64 192 256 192
51 64 192 256 192
52 192 128 192 256
53 128 192 192 64
54 64 192 256 192
55 128 192 192 192
56 192 128 192 128
57 64 192 192 192
58 128 256 192 64
59 192 256 256 64
60 128 192 256 256
61 128 256 192 64
62 128 192 256 128
63 128 256 256 192
64 256 192 192 192
65 128 192 192 128
66 128 192 256 64
67 64 192 256 128
68 192 256 192 128
69 128 192 256 128
70 128 192 256 128
71 64 192 256 128
72 128 128 192 192
73 128 256 192 128
74 192 256 256 128
75 128 256 256 128
76 192 256 128 128
77 128 192 256 128
78 128 192 256 256
79 128 256 256 192
80 128 256 256 128
81 128 256 256 128
82 192 128 192 128
83 64 256 256 64
84 192 256 192 128
85 128 128 192 192
86 64 256 256 128
87 192 192 128 64
88 64 256 256 64
89 128 128 256 256
90 64 256 256 128
91 128 192 256 192
92 128 192 192 256
93 64 256 192 64
94 128 192 256 192
95 128 256 192 192
96 192 192 192 64
97 64 192 256 128
98 128 192 256 128
99 64 256 192 192
100 192 192 192 64
101 64 256 256 64
102 128 256 192 64
103 128 192 192 128
104 128 256 256 128
105 192 192 256 128
106 64 192 192 128
107 192 256 128 64
108 192 192 256 128
109 128 128 192 192
110 128 256 192 64
111 192 128 256 192
112 64 256 256 128
113 128 192 192 128
114 64 256 256 64
115 192 192 256 128
116 192 256 192 128
117 64 192 192 128
118 128 192 256 192
119 64 192 256 128
120 64 192 256 64
121 128 192 128 64
122 128 256 192 64
123 128 192 192 128
124 128 192 192 128
125 64 128 256 128
126 64 128 256 192
127 128 128 192 192
128 64 256 256 64
129 256 192 192 192
130 128 256 128 64
131 128 256 128 64
132 128 256 256 64
133 128 192 192 64
